"Number of Vertices"," Number of Edges"," Average Degree"," Average Connectivity"," Average Critical Edges Count"
"22","40","3.6363637","0.72","2.16"
"22","45","4.090909","0.98","2.48"
"22","50","4.5454545","1.1","2.3"
"22","55","5.0","1.34","2.72"
"22","60","5.4545455","1.74","3.78"
"22","65","5.909091","1.84","3.1"
"22","70","6.3636365","2.2","3.94"
"22","75","6.818182","2.56","4.58"
"22","80","7.2727275","2.66","4.32"
"22","85","7.7272725","3.18","5.32"
"22","90","8.181818","3.44","6.06"
"22","95","8.636364","3.74","5.64"
"22","100","9.090909","4.08","6.18"
"22","105","9.545455","4.52","6.2"
"22","110","10.0","4.66","7.28"
"22","115","10.454545","4.76","7.32"
"22","120","10.909091","5.06","7.62"
"22","125","11.363636","5.46","7.96"
"22","130","11.818182","5.9","9.3"
"22","135","12.272727","6.44","8.8"
"22","140","12.727273","6.4","7.96"
"22","145","13.181818","6.5","9.0"
"22","150","13.636364","7.22","10.42"
"22","155","14.090909","7.76","11.1"
"22","160","14.545455","7.92","9.76"
"22","165","15.0","8.42","11.18"
"22","170","15.454545","8.56","10.96"
"22","175","15.909091","8.9","12.8"
"22","180","16.363636","9.18","11.82"
"22","185","16.818182","9.46","11.4"
"22","190","17.272728","9.48","12.8"
"22","195","17.727272","10.4","14.42"
"22","200","18.181818","10.48","14.96"
"22","205","18.636364","11.1","14.46"
"22","210","19.09091","11.58","16.06"
"22","215","19.545454","11.48","14.62"
"22","220","20.0","12.1","15.68"
"22","225","20.454546","12.46","15.06"
"22","230","20.90909","13.04","17.72"
"22","235","21.363636","13.12","19.4"
"22","240","21.818182","13.04","17.42"
"22","245","22.272728","13.58","15.74"
"22","250","22.727272","14.38","18.9"
"22","255","23.181818","14.92","19.14"
"22","260","23.636364","15.16","18.46"
"22","265","24.09091","15.14","17.66"
"22","270","24.545454","15.76","18.48"
"22","275","25.0","16.12","20.84"
"22","280","25.454546","16.32","22.52"
"22","285","25.90909","17.2","22.92"
"22","290","26.363636","17.3","22.0"
"22","295","26.818182","18.02","21.88"
"22","300","27.272728","18.2","22.1"
"22","305","27.727272","18.26","22.3"
"22","310","28.181818","18.94","24.62"
"22","315","28.636364","19.48","23.62"
"22","320","29.09091","19.28","22.1"
"22","325","29.545454","19.38","23.22"
"22","330","30.0","20.24","26.3"
"22","335","30.454546","21.26","27.98"
"22","340","30.90909","20.84","22.52"
"22","345","31.363636","21.5","28.96"
"22","350","31.818182","22.0","24.18"
"22","355","32.272728","21.7","24.04"
"22","360","32.727272","22.48","28.94"
"22","365","33.18182","22.74","26.0"
"22","370","33.636364","23.4","34.16"
"22","375","34.090908","23.56","27.04"
"22","380","34.545456","23.88","28.3"
"22","385","35.0","24.78","29.56"
"22","390","35.454544","24.64","28.58"
"22","395","35.909092","24.48","26.54"
"22","400","36.363636","25.34","30.44"
